Conversion Results:
Number: -39.0, Binary: 0b, Hexadecimal: 0x
Number: -36.0, Binary: 0b, Hexadecimal: 0x
Number: 8.0, Binary: 0b1000, Hexadecimal: 0x8
Number: 34.0, Binary: 0b100010, Hexadecimal: 0x22
Number: 17.0, Binary: 0b10001, Hexadecimal: 0x11
Number: 49.0, Binary: 0b110001, Hexadecimal: 0x31
Number: 5.0, Binary: 0b101, Hexadecimal: 0x5
Number: 39.0, Binary: 0b100111, Hexadecimal: 0x27
Number: 0.0, Binary: 0b0, Hexadecimal: 0x0
Number: 33.0, Binary: 0b100001, Hexadecimal: 0x21
Number: 12.0, Binary: 0b1100, Hexadecimal: 0xC
Number: -6.0, Binary: 0b, Hexadecimal: 0x
Number: 27.0, Binary: 0b11011, Hexadecimal: 0x1B
Number: -4.0, Binary: 0b, Hexadecimal: 0x
Number: -38.0, Binary: 0b, Hexadecimal: 0x
Number: 26.0, Binary: 0b11010, Hexadecimal: 0x1A
Number: 49.0, Binary: 0b110001, Hexadecimal: 0x31
Number: 29.0, Binary: 0b11101, Hexadecimal: 0x1D
Number: 42.0, Binary: 0b101010, Hexadecimal: 0x2A
Number: -16.0, Binary: 0b, Hexadecimal: 0x
Number: -28.0, Binary: 0b, Hexadecimal: 0x
Number: 34.0, Binary: 0b100010, Hexadecimal: 0x22
Number: 20.0, Binary: 0b10100, Hexadecimal: 0x14
Number: 0.0, Binary: 0b0, Hexadecimal: 0x0
Number: 25.0, Binary: 0b11001, Hexadecimal: 0x19
Number: 45.0, Binary: 0b101101, Hexadecimal: 0x2D
Number: 3.0, Binary: 0b11, Hexadecimal: 0x3
Number: -46.0, Binary: 0b, Hexadecimal: 0x
Number: -46.0, Binary: 0b, Hexadecimal: 0x
Number: 29.0, Binary: 0b11101, Hexadecimal: 0x1D
Number: 33.0, Binary: 0b100001, Hexadecimal: 0x21
Number: 29.0, Binary: 0b11101, Hexadecimal: 0x1D
Number: 26.0, Binary: 0b11010, Hexadecimal: 0x1A
Number: -5.0, Binary: 0b, Hexadecimal: 0x
Number: -36.0, Binary: 0b, Hexadecimal: 0x
Number: 12.0, Binary: 0b1100, Hexadecimal: 0xC
Number: 45.0, Binary: 0b101101, Hexadecimal: 0x2D
Number: -50.0, Binary: 0b, Hexadecimal: 0x
Number: 0.0, Binary: 0b0, Hexadecimal: 0x0
Number: -6.0, Binary: 0b, Hexadecimal: 0x
Number: -39.0, Binary: 0b, Hexadecimal: 0x
Number: 35.0, Binary: 0b100011, Hexadecimal: 0x23
Number: 26.0, Binary: 0b11010, Hexadecimal: 0x1A
Number: -35.0, Binary: 0b, Hexadecimal: 0x
Number: -42.0, Binary: 0b, Hexadecimal: 0x
Number: 14.0, Binary: 0b1110, Hexadecimal: 0xE
Number: -3.0, Binary: 0b, Hexadecimal: 0x
Number: 22.0, Binary: 0b10110, Hexadecimal: 0x16
Number: -47.0, Binary: 0b, Hexadecimal: 0x
Number: 12.0, Binary: 0b1100, Hexadecimal: 0xC
Number: -17.0, Binary: 0b, Hexadecimal: 0x
Number: -31.0, Binary: 0b, Hexadecimal: 0x
Number: -25.0, Binary: 0b, Hexadecimal: 0x
Number: -35.0, Binary: 0b, Hexadecimal: 0x
Number: -18.0, Binary: 0b, Hexadecimal: 0x
Number: 14.0, Binary: 0b1110, Hexadecimal: 0xE
Number: 37.0, Binary: 0b100101, Hexadecimal: 0x25
Number: -8.0, Binary: 0b, Hexadecimal: 0x
Number: -41.0, Binary: 0b, Hexadecimal: 0x
Number: -50.0, Binary: 0b, Hexadecimal: 0x
Number: -9.0, Binary: 0b, Hexadecimal: 0x
Number: 2.0, Binary: 0b10, Hexadecimal: 0x2
Number: 12.0, Binary: 0b1100, Hexadecimal: 0xC
Number: -39.0, Binary: 0b, Hexadecimal: 0x
Number: -17.0, Binary: 0b, Hexadecimal: 0x
Number: 0.0, Binary: 0b0, Hexadecimal: 0x0
Number: 27.0, Binary: 0b11011, Hexadecimal: 0x1B
Number: 28.0, Binary: 0b11100, Hexadecimal: 0x1C
Number: 45.0, Binary: 0b101101, Hexadecimal: 0x2D
Number: -44.0, Binary: 0b, Hexadecimal: 0x
Number: 28.0, Binary: 0b11100, Hexadecimal: 0x1C
Number: 35.0, Binary: 0b100011, Hexadecimal: 0x23
Number: -33.0, Binary: 0b, Hexadecimal: 0x
Number: 43.0, Binary: 0b101011, Hexadecimal: 0x2B
Number: -4.0, Binary: 0b, Hexadecimal: 0x
Number: 23.0, Binary: 0b10111, Hexadecimal: 0x17
Number: -49.0, Binary: 0b, Hexadecimal: 0x
Number: 49.0, Binary: 0b110001, Hexadecimal: 0x31
Number: -7.0, Binary: 0b, Hexadecimal: 0x
Number: -38.0, Binary: 0b, Hexadecimal: 0x
